quantity,value,uncertainty,unit
Loschmidt_constant_273.15_K_101.325_kPa,2.6867811e25,1.5e+19,m^-3
mag_constant,12.566370614e-7,0.0,N A^-2
mag_flux_quantum,2.067833831e-15,1.3e-23,Wb
molar_gas_constant,8.3144598,4.8e-06,J mol^-1 K^-1
molar_mass_constant,1e-3,0.0,kg mol^-1
molar_mass_of_carbon_12,12e-3,0.0,kg mol^-1
molar_Planck_constant,3.9903127110e-10,1.8e-19,J s mol^-1
molar_Planck_constant_times_c,0.119626565582,5.4e-11,J m mol^-1
molar_volume_of_ideal_gas_273.15_K_100_kPa,22.710947e-3,1.3e-08,m^3 mol^-1
molar_volume_of_ideal_gas_273.15_K_101.325_kPa,22.413962e-3,1.3e-08,m^3 mol^-1
molar_volume_of_silicon,12.05883214e-6,6.1e-13,m^3 mol^-1
Mo_x_unit,1.00209952e-13,5.2999999999999996e-20,m
muon_Compton_wavelength,11.73444111e-15,2.6e-22,m
muon_Compton_wavelength_over_2_pi,1.867594308e-15,4.2e-23,m
muon_electron_mass_ratio,206.7682826,4.6e-06, 
muon_g_factor,-2.0023318418,1.3e-09, 
muon_mag_mom,-4.49044826e-26,1e-33,J T^-1
muon_mag_mom_anomaly,1.16592089e-3,6.3e-10, 
muon_mag_mom_to_Bohr_magneton_ratio,-4.84197048e-3,1.1000000000000001e-10, 
muon_mag_mom_to_nuclear_magneton_ratio,-8.89059705,2e-07, 
muon_mass,1.883531594e-28,4.799999999999999e-36,kg
muon_mass_energy_equivalent,1.692833774e-11,4.3e-19,J
muon_mass_energy_equivalent_in_MeV,105.6583745,2.4e-06,MeV
muon_mass_in_u,0.1134289257,2.5e-09,u
muon_molar_mass,0.1134289257e-3,2.5000000000000003e-12,kg mol^-1
muon_neutron_mass_ratio,0.1124545167,2.5e-09, 
muon_proton_mag_mom_ratio,-3.183345142,7.1e-08, 
muon_proton_mass_ratio,0.1126095262,2.5e-09, 
muon_tau_mass_ratio,5.94649e-2,5.400000000000001e-06, 
natural_unit_of_action,1.054571800e-34,1.3000000000000002e-42,J s
natural_unit_of_action_in_eV_s,6.582119514e-16,4.0000000000000004e-24,eV s
natural_unit_of_energy,8.18710565e-14,1.0000000000000001e-21,J
natural_unit_of_energy_in_MeV,0.5109989461,3.1e-09,MeV
natural_unit_of_length,386.15926764e-15,1.8000000000000001e-22,m
natural_unit_of_mass,9.10938356e-31,1.1e-38,kg
natural_unit_of_mom.um,2.730924488e-22,3.4e-30,kg m s^-1
